name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Robert Drysdale,7,0,0,190.5,92.99,182.88,Orthodox,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,44.0
Daniel McWilliams,15,37,0,185.42,83.91,182.88,Unknown,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,42.0
Dan Molina,13,9,0,177.8,97.98,182.88,Unknown,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,44.0
Paul Ruiz,7,4,0,167.64,61.23,182.88,Unknown,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,36.0
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,31.0
Gerald Strebendt,9,7,0,175.26,70.31,182.88,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,46.0
Isaiah Hill,5,7,1,177.8,70.31,182.88,Unknown,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,39.0
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,42.0
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,43.0
Neil Grove,12,8,1,198.12,120.2,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,54.0
Raphael Butler,9,2,1,190.5,118.39,182.88,Unknown,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,45.0
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,29.0
Ian Entwistle,9,3,0,165.1,61.23,182.88,Orthodox,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,39.0
Megumi Fujii,26,3,0,160.02,51.26,182.88,Unknown,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0,34.0
Gaston Reyno,6,2,0,182.88,65.77,182.88,Unknown,7.79,62.0,3.9,44.0,0.0,0.0,0.0,11.7,36.0
Kenny Ento,14,15,0,187.96,87.09,182.88,Unknown,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,42.0
AJ McKee,8,0,0,177.8,65.77,182.88,Unknown,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,36.0
Westin Wilson,16,8,0,185.42,65.77,185.42,Southpaw,1.38,50.0,7.59,26.0,0.0,0.0,0.0,10.3,36.0
Philip Perez,7,5,1,165.1,70.31,182.88,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,39.0
Brandon Shuey,7,6,0,170.18,70.31,182.88,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,49.0
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,45.0
Johnny Sampaio,3,1,0,172.72,77.11,182.88,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,50.0
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,33.0
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,31.0
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,182.88,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,44.0
Justin Burlinson,6,1,0,185.42,77.11,187.96,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,28.0
Poppies Martinez,29,11,0,175.26,65.77,182.88,Unknown,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2,36.0
Josh Rafferty,9,8,0,182.88,77.11,182.88,Orthodox,0.6,33.0,3.6,50.0,0.0,0.0,0.0,9.0,44.0
Daniel Puder,8,0,0,190.5,106.59,182.88,Orthodox,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,44.0
Yukio Sakaguchi,6,7,0,175.26,83.91,182.88,Orthodox,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,52.0
Magomed Sultanakhmedov,18,6,0,187.96,83.91,182.88,Southpaw,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,42.0
Jeff Newton,4,2,0,187.96,92.99,182.88,Sideways,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,59.0
Emiliano Sordi,16,7,0,187.96,92.99,182.88,Orthodox,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,34.0
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,48.0
Fazlo Mulabitinovic,4,2,0,177.8,61.23,182.88,Unknown,0.54,16.0,0.0,100.0,0.0,0.0,0.0,8.0,36.0
J.T Taylor,7,7,0,177.8,77.11,182.88,Unknown,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,39.0
Adam Meredith,5,3,0,187.96,77.11,182.88,Unknown,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9,39.0
Klayton Mai,8,3,0,175.26,56.7,182.88,Unknown,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7,34.0
Ron Keslar,11,9,0,177.8,83.91,182.88,Unknown,0.0,0.0,2.05,60.0,0.0,0.0,100.0,7.7,42.0
Bobby McAndrews,1,3,0,177.8,77.11,182.88,Orthodox,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,39.0
Ansar Chalangov,14,5,0,175.26,77.11,182.88,Orthodox,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,46.0
Jeremiah Constant,11,8,0,185.42,108.86,182.88,Orthodox,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,51.0
Paul Sass,14,2,0,182.88,70.31,185.42,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,37.0
Eddy Millis,0,2,0,185.42,83.91,182.88,Unknown,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,42.0
James Lee,15,3,0,180.34,92.99,182.88,Southpaw,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,52.0
Mikhail Iloukhine,30,11,1,175.26,92.99,182.88,Orthodox,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,59.0
Kyle Jensen,4,11,2,175.26,77.11,182.88,Orthodox,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,46.0
Ilya Kotau,1,2,0,177.8,77.11,182.88,Unknown,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,39.0
Trevor Harris,2,2,0,167.64,65.77,182.88,Unknown,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,36.0
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,24.0
Tom Erikson,9,4,1,190.5,127.01,182.88,Orthodox,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,48.0
Jason Black,23,4,1,172.72,70.31,182.88,Orthodox,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,53.0
Francisco France,13,5,1,182.88,92.99,182.88,Unknown,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1,44.0
John Albert,6,5,0,172.72,61.23,172.72,Orthodox,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,39.0
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,34.0
Neiman Gracie,6,0,0,182.88,77.11,182.88,Unknown,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8,39.0
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,35.0
